,Name,ERR209679_1_kneaddata_taxonomic_profile,ERR209680_1_kneaddata_taxonomic_profile,ERR209681_1_kneaddata_taxonomic_profile,ERR209684_1_kneaddata_taxonomic_profile,ERR209685_1_kneaddata_taxonomic_profile,ERR209690_1_kneaddata_taxonomic_profile,ERR209691_1_kneaddata_taxonomic_profile,ERR209692_1_kneaddata_taxonomic_profile,ERR209693_1_kneaddata_taxonomic_profile,ERR209695_1_kneaddata_taxonomic_profile,ERR209696_1_kneaddata_taxonomic_profile,ERR209697_1_kneaddata_taxonomic_profile,ERR209698_1_kneaddata_taxonomic_profile,ERR209699_1_kneaddata_taxonomic_profile,ERR209700_1_kneaddata_taxonomic_profile,ERR209701_1_kneaddata_taxonomic_profile,ERR209706_1_kneaddata_taxonomic_profile,ERR209707_1_kneaddata_taxonomic_profile,ERR209708_1_kneaddata_taxonomic_profile,ERR209709_1_kneaddata_taxonomic_profile,ERR209710_1_kneaddata_taxonomic_profile,ERR209711_1_kneaddata_taxonomic_profile,ERR209715_1_kneaddata_taxonomic_profile,ERR209716_1_kneaddata_taxonomic_profile,ERR209717_1_kneaddata_taxonomic_profile,ERR209729_1_kneaddata_taxonomic_profile,ERR209730_1_kneaddata_taxonomic_profile,ERR209731_1_kneaddata_taxonomic_profile,ERR209732_1_kneaddata_taxonomic_profile,ERR209739_1_kneaddata_taxonomic_profile,ERR209740_1_kneaddata_taxonomic_profile,ERR209743_1_kneaddata_taxonomic_profile,ERR209744_1_kneaddata_taxonomic_profile,ERR209745_1_kneaddata_taxonomic_profile,ERR209746_1_kneaddata_taxonomic_profile
0,Actinomyces_graevenitzii,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00306,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Adlercreutzia_equolifaciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02003,0.09197,0.11111,0.0,0.0,0.0,0.0,0.21519,0.18144,0.0,0.0,0.08186,0.06435
2,Alistipes_finegoldii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01919,0.02454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04562,0.05776,0.0,0.0,0.75773,0.70024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701,0.02601
3,Alistipes_indistinctus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02587,0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alistipes_onderdonkii,0.0,0.0,0.0,0.0,0.18234,0.0,0.0,1.68969,1.92601,0.00712,0.04272,0.03465,0.0,0.0,0.0,0.0,0.05982,0.06422,0.0,0.0,0.0,0.0,2.60922,1.1383,1.32268,0.0,0.0,1.49549,1.27704,0.00172,0.0,0.0,0.0,2.11171,1.70205
5,Alistipes_putredinis,0.0,0.0,0.0,0.0,5.53573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82632,2.0361,0.0,0.0,0.04921,0.06469,7.22681,14.30577,15.28088,0.03644,0.04241,0.02275,0.01046,0.0,0.0,0.32747,0.0,7.03239,6.44606
6,Alistipes_senegalensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00332,0.00376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04618,0.03729,0.0,0.0,0.0,0.0
7,Alistipes_shahii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01621,0.08689,0.05906,0.0,0.0,0.0,0.0,0.2205,0.25807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30577,0.28884
8,Alistipes_sp_AP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3831,0.43108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alloscardovia_omnicolens,0.28493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Atopobium_minutum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Atopobium_parvulum,2.40208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398,0.00342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00827,0.01043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Atopobium_rimae,0.53489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bacteroidales_bacterium_ph8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52827,0.39842,0.3186,0.29239,0.26312,0.21162,0.0,0.0,0.0,0.0
14,Bacteroides_barnesiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.46117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Bacteroides_caccae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02581,0.03338,1.71437,0.5956,0.65556,0.0,0.0,0.0,0.0,7.72888,7.50397,0.0,0.0,0.0,0.0,0.93236,0.80289,0.79281,0.0,0.0,0.0,0.0,4.52215,4.49851,0.0,0.0,1.77512,2.0968
16,Bacteroides_cellulosilyticus,0.0,0.0,0.0,13.51931,23.8912,0.0,0.0,0.0,0.0,0.0,0.12525,0.14184,0.0,0.0,0.0,0.0,0.0882,0.07582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Bacteroides_clarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41627,3.93287,4.15812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00649,0.00085,0.0,0.0,0.78021,0.70548,0.0,0.0,0.01472,0.01783
18,Bacteroides_coprocola,0.0,0.0,0.0,0.0,0.0,40.98559,36.39415,44.65957,43.21394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00259,0.0016,0.0,0.0,0.0,0.0,0.0,0.00764,0.01438,0.00626,0.00382,0.0,0.0,0.0,0.00596,0.0,0.0,0.0,0.0
19,Bacteroides_dorei,5.38578,0.0,0.0,56.23962,5.38517,2.07624,12.01817,0.45332,0.5058,0.03939,0.17765,0.03771,2.70974,2.35958,2.86455,2.55677,1.83434,2.19464,0.0,0.00254,0.0,0.0,0.0,0.0,0.0,0.02268,0.0191,0.0,0.0,0.08034,0.04827,37.86545,51.6729,0.18999,0.22116
20,Bacteroides_eggerthii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00069,0.00143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162,0.0199,0.0,0.0,0.0,0.0,9.02463,20.07885,19.57546,0.0,0.0,0.0,0.0,1.1339,1.10822,5.86339,0.0,38.43698,42.26415
21,Bacteroides_faecis,0.0,0.0,1.13332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49151,1.56594,0.0,0.0,0.0,0.0,0.0015,0.00087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30183,0.0,0.64246,0.69159
22,Bacteroides_finegoldii,0.96156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6958,5.65301,5.6285,0.0,0.0,0.0,0.0,0.89832,0.88974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1718,1.39544
23,Bacteroides_fragilis,18.02177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.71842,18.13987,6.20643,6.78928,0.13302,0.37273,0.37296,0.0,0.0,0.0,0.0,0.12256,0.10302,0.0,0.0,3.89532,4.38907
24,Bacteroides_intestinalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.44381,13.7911,6.66086,7.48596,0.0,0.0,0.0,0.0,0.0,0.0
25,Bacteroides_massiliensis,0.0,18.10395,14.08658,0.0,0.0,0.0,0.0,0.0091,0.01155,18.40796,22.81861,23.18801,0.0,0.00128,0.0,0.0,12.37104,12.34851,0.0,0.0,0.0,0.0,0.0,0.0123,0.01536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00394
26,Bacteroides_nordii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01887,0.02018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Bacteroides_ovatus,0.49439,2.7967,7.87921,4.70589,20.55866,0.0,0.0,0.0,0.0,20.37132,14.66144,15.3005,0.0,0.0,0.0,0.00029,0.67923,0.67378,31.59894,32.22024,14.98174,15.12242,18.21483,10.59891,10.31319,0.0,0.00049,0.0,0.0,23.91065,23.91558,2.14928,0.0,0.13925,0.16104
28,Bacteroides_plebeius,0.16692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76661,7.55355,7.19389,0.0,0.0,0.0,0.0,0.0,0.0,14.45499,0.0,0.0,0.0
29,Bacteroides_salyersiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87992,1.93754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Bacteroides_sp_1_1_6,0.0,0.0,0.0,0.0,27.43753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Bacteroides_sp_2_1_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78014,0.78659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Bacteroides_stercoris,0.0,12.65763,19.59056,0.0,0.0,12.42832,5.44576,13.53838,13.63913,11.32214,18.20914,17.24799,0.0,0.0,0.0,0.0,31.49626,31.4756,0.0,0.0,0.0,0.0,2.63547,14.18895,14.19541,0.0,0.0,0.0,0.0,0.0,0.0,2.38808,0.0,14.15121,14.98246
33,Bacteroides_thetaiotaomicron,0.0,0.0,0.0,20.55815,0.0,6.94391,6.54201,2.61191,2.574,2.07543,1.5933,1.83324,0.0,0.0,0.0,0.0,0.22282,0.22633,0.0,0.00434,0.0,0.0,3.61349,5.38102,5.32627,0.0,0.0,0.0,0.0,0.0,0.0,1.03468,0.0,1.13605,1.29171
34,Bacteroides_uniformis,3.71978,13.25219,14.3851,0.0,0.0,16.78511,7.62082,13.84384,13.8214,1.38968,5.54037,5.79654,0.0,0.00251,0.0,0.00367,3.94359,3.94842,0.0,0.00408,0.0,0.0,24.30572,6.85047,6.88233,0.00773,0.00621,0.0,0.0,3.06321,3.0571,17.85455,0.0,12.75319,6.76063
35,Bacteroides_vulgatus,0.18197,53.18954,42.92524,0.0,0.0,10.72966,30.70496,9.37527,8.77115,17.90631,11.60468,12.10627,49.66196,51.50136,37.09305,38.09495,28.65974,28.35119,38.75553,38.98398,71.56798,72.20258,0.0,0.01143,0.00971,82.19366,82.37433,64.34037,70.98335,41.42845,42.27674,11.96167,48.3271,4.5573,5.13115
36,Bacteroides_xylanisolvens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Barnesiella_intestinihominis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22126,2.72199,2.64055,0.0,0.0,10.95015,11.15653,0.86211,0.84478,0.0,0.0,0.0,0.0,2.72674,11.56845,11.60652,0.0,0.0,0.0,0.0,1.38512,1.41871,2.97296,0.0,4.92649,5.24744
38,Bifidobacterium_adolescentis,0.34122,0.0,0.0,0.0,0.0,0.44449,0.0,3.8741,4.56226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68809,0.78828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00537,0.0,0.0,0.0,2.14546,1.99393,0.0,0.0,0.0,0.0
39,Bifidobacterium_bifidum,0.0,0.0,0.0,0.0,0.0,0.02203,0.0,0.75216,0.91913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9212,0.00127,0.006,2.25727,1.95226,18.06946,12.70893,5.47497,4.67447,0.0,0.0,0.0,0.0
40,Bifidobacterium_breve,10.09057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Bifidobacterium_catenulatum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40067,0.4144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69375,0.58383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61482,0.64602,0.0,0.0,0.0,0.0
42,Bifidobacterium_dentium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Bifidobacterium_longum,6.31532,0.0,0.0,0.0,0.0,0.2655,0.0,2.02515,2.349,1.38299,1.97814,1.45091,8.72444,6.43854,0.09828,0.07179,0.0,0.0,1.0745,0.79104,1.15109,0.77967,0.32545,0.05363,0.07954,1.35686,1.27123,7.92225,5.48772,2.72604,2.91434,0.0,0.0,0.0969,0.08616
44,Bifidobacterium_pseudocatenulatum,40.90038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366,0.01897,8.40776,8.09958,0.43645,0.42469,12.36637,2.25522,2.58802,0.0,0.0,0.0,0.0,0.13778,0.1559,0.0,0.0,0.0,0.0
45,Butyricimonas_synergistica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00494,0.00165,0.00202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00087
46,Collinsella_aerofaciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26404,0.31597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78866,1.6235,0.0,0.0,1.43601,1.00344
47,Collinsella_intestinalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74715,1.09762,0.71728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10036,0.60012,0.73669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Coprobacter_fastidiosus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09441,0.13815,0.18607,0.0,0.0,0.0,0.0,0.09724,0.08054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Coriobacteriaceae_bacterium_phI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02196,0.02287,0.0,0.0,0.0,0.0
50,Eggerthella_lenta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00234,0.00413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01106,0.01176
51,Gardnerella_vaginalis,0.71091,0.0,0.0,0.0,0.0,0.0,0.0,0.00816,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Gordonibacter_pamelaeae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01574,0.01454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00461,0.00886,0.0,0.0,0.04477,0.0235,0.01272,0.00323,0.00892,0.0,0.0,0.45615,0.41857,0.0,0.0,0.0,0.0,0.01203,0.01351
53,Methanobrevibacter_smithii,0.02968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Odoribacter_splanchnicus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52084,1.46052,0.26823,0.50538,0.52044,0.0,0.0,0.0,0.0,0.18373,0.17902,0.0,0.0,2.62473,2.63246,0.65659,0.9389,0.92317,0.0,0.0,0.0,0.89034,0.0,0.0,0.0,0.0,1.62073,1.88394
55,Parabacteroides_distasonis,0.73443,0.0,0.0,0.0,0.0,0.0,0.70264,0.0,0.0,0.42951,0.46215,0.34,0.0,0.0,0.0,0.0,0.05451,0.16247,0.0,0.0,0.0,0.0,0.0,0.0,0.00318,0.0,0.0,0.0,0.0,4.76766,5.01033,0.0,0.0,0.0,0.00265
56,Parabacteroides_goldsteinii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Parabacteroides_johnsonii,0.0,0.0,0.0,4.97703,16.99861,0.0,0.0,0.0,0.0,0.19242,0.429,0.41615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.09585,0.0,0.0,0.0,0.0
58,Parabacteroides_merdae,0.40198,0.0,0.0,0.0,0.01076,0.0,0.0,0.0,0.0,0.75374,0.93089,0.93518,0.0,0.0,0.0,0.0,2.39763,2.38902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81511,2.89603,1.82566,0.0,1.13357,1.33248
59,Paraprevotella_clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.879,1.04235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61523,0.63019
60,Paraprevotella_xylaniphila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04782,0.03709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69547,1.72536,0.0,0.0,0.02382,0.0238
61,Parascardovia_denticolens,1.45411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Prevotella_bivia,0.2734,0.0,0.0,0.0,0.0,0.0,0.0,0.00785,0.0057,1.05651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00478,0.0,0.0,0.0,0.0
63,Prevotella_copri,0.10754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00203,0.0,0.01138,38.90386,39.69603,48.99397,48.11601,0.0,0.0,0.00383,0.02667,0.0,0.00871,0.0,0.0,0.0,0.11151,0.09444,0.08931,0.09624,0.0,0.0,0.0,0.0,0.0,0.0
64,Prevotella_disiens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Prevotella_timonensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Rothia_dentocariosa,0.40963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Rothia_mucilaginosa,0.16636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Scardovia_wiggsiae,4.17824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
